,Item,Receipts,Inv_Adj,Aftr_adj_Qty,Cost,Sales_Qty,year,month
76,Mackie Freeplay Personal PA,1.0,0.0,1.0,200.0,0.0,2019,8
77,Mackie HR624mk2,4.0,0.0,4.0,1468.76,0.0,2019,8
78,Mackie HR824mk2,4.0,0.0,4.0,2056.28,0.0,2019,8
79,Mackie MC-150,2.0,0.0,2.0,102.8,0.0,2019,8
80,Mackie MC-250,2.0,0.0,2.0,146.86,0.0,2019,8
81,Mackie MR6mk3,1.0,0.0,1.0,97.49,0.0,2019,8
82,Mackie ProFX12v2,3.0,0.0,3.0,616.86,0.0,2019,8
83,Mackie ProFX16v2,2.0,0.0,2.0,734.38,0.0,2019,8
84,Mackie ProFX8v2,1.0,0.0,1.0,161.56,0.0,2019,8
85,Magnum Dynalab ST 2,26.0,0.0,26.0,3354.0,0.0,2019,8
86,McPhilben 33LP42RW,38.0,0.0,38.0,0.38,0.0,2019,8
87,McPhilben Blank Lens,64.0,0.0,64.0,0.64,0.0,2019,8
88,McPhilben On Air,1.0,0.0,1.0,0.01,0.0,2019,8
89,McPhilben On The Air,27.0,-2.0,25.0,0.25,0.0,2019,8
90,McPhilben Recording-Black,1.0,0.0,1.0,0.01,0.0,2019,8
91,McPhilben Recording-Red,15.0,0.0,15.0,0.15,0.0,2019,8
92,Midas Consoles COMPRESSOR LIMITER 522,5.0,0.0,5.0,875.0,0.0,2019,8
93,Midas Consoles DM12,3.0,0.0,3.0,1050.0,0.0,2019,8
94,Midas Consoles L6,6.0,-6.0,0.0,0.0,0.0,2019,8
95,Midas Consoles MICROPHONE PREAMPLIFIER 502 V2,4.0,0.0,4.0,700.0,0.0,2019,8
96,Midas Consoles MR12,2.0,0.0,2.0,495.0,0.0,2019,8
97,Midas Consoles MR18,1.0,0.0,1.0,880.0,0.0,2019,8
98,Midas Consoles PARAMETRIC EQUALISER 512,5.0,0.0,5.0,875.0,0.0,2019,8
99,Middle Atlantic MA-91-068,3.0,0.0,3.0,0.03,0.0,2019,8
100,Middle Atlantic MA-9100008,1.0,0.0,1.0,10.41,0.0,2019,8
101,Middle Atlantic MA-BL1,6.0,0.0,6.0,65.82000000000001,0.0,2019,8
102,Middle Atlantic MA-BL2,2.0,0.0,2.0,25.32,0.0,2019,8
103,Middle Atlantic MA-BL3,8.0,0.0,8.0,121.52,0.0,2019,8
104,Middle Atlantic MA-BL4,5.0,0.0,5.0,90.7,0.0,2019,8
105,Middle Atlantic MA-BRK10,3.0,0.0,3.0,275.88,0.0,2019,8
106,Middle Atlantic MA-BRK12,2.0,0.0,2.0,192.36,0.0,2019,8
107,Middle Atlantic MA-BRK14,3.0,0.0,3.0,302.46,0.0,2019,8
108,Middle Atlantic MA-BRK20,3.0,0.0,3.0,339.18,0.0,2019,8
109,Middle Atlantic MA-DR-12,1.0,0.0,1.0,40.92,0.0,2019,8
110,Middle Atlantic MA-EB1,22.0,0.0,22.0,111.32,0.0,2019,8
111,Middle Atlantic MA-EB2,56.0,0.0,56.0,378.0,0.0,2019,8
112,Middle Atlantic MA-EB3,18.0,0.0,18.0,144.35999999999999,0.0,2019,8
113,Middle Atlantic MA-EB4,13.0,0.0,13.0,148.07,0.0,2019,8
114,Middle Atlantic MA-EVT1,25.0,0.0,25.0,158.25,0.0,2019,8
115,Middle Atlantic MA-FEB3,2.0,0.0,2.0,15.18,0.0,2019,8
116,Middle Atlantic MA-FP1,3.0,0.0,3.0,70.86,0.0,2019,8
117,Middle Atlantic MA-FP2,8.0,0.0,8.0,195.76,0.0,2019,8
118,Middle Atlantic MA-HBL6,4.0,0.0,4.0,109.68,0.0,2019,8
119,Middle Atlantic MA-HP,29.0,0.0,29.0,391.5,0.0,2019,8
120,Middle Atlantic MA-HP500,6.0,0.0,6.0,379.68,0.0,2019,8
121,Middle Atlantic MA-HW100,15.0,0.0,15.0,265.79999999999995,0.0,2019,8
122,Middle Atlantic MA-HW500,10.0,0.0,10.0,826.8000000000001,0.0,2019,8
123,Middle Atlantic MA-LF-HD,4.0,0.0,4.0,50.64,0.0,2019,8
124,Middle Atlantic MA-MRK-Z4,7.0,0.0,7.0,183.04999999999998,0.0,2019,8
125,Middle Atlantic MA-MW-10FT-FC,1.0,0.0,1.0,316.75,0.0,2019,8
126,Middle Atlantic MA-PBL-1,1.0,0.0,1.0,5.06,0.0,2019,8
127,Middle Atlantic MA-PDT-2X615S,1.0,0.0,1.0,99.56,0.0,2019,8
128,Middle Atlantic MA-PHBL-1,6.0,0.0,6.0,35.46,0.0,2019,8
129,Middle Atlantic MA-RK10,3.0,0.0,3.0,258.18,0.0,2019,8
130,Middle Atlantic MA-RK12,2.0,0.0,2.0,183.08,0.0,2019,8
131,Middle Atlantic MA-RK14,1.0,0.0,1.0,94.92,0.0,2019,8
132,Middle Atlantic MA-RK2,1.0,0.0,1.0,66.95,0.0,2019,8
133,Middle Atlantic MA-RK20,4.0,0.0,4.0,406.68,0.0,2019,8
134,Middle Atlantic MA-RRF10,1.0,0.0,1.0,14.76,0.0,2019,8
135,Middle Atlantic MA-RRF18,2.0,0.0,2.0,48.1,0.0,2019,8
136,Middle Atlantic MA-RRF6,3.0,0.0,3.0,34.17,0.0,2019,8
137,Middle Atlantic MA-RSH4,1.0,0.0,1.0,61.89,0.0,2019,8
138,Middle Atlantic MA-RULER,3.0,0.0,3.0,46.83,0.0,2019,8
139,Middle Atlantic MA-S1,12.0,0.0,12.0,217.68,0.0,2019,8
140,Middle Atlantic MA-S2,31.0,0.0,31.0,627.75,0.0,2019,8
141,Middle Atlantic MA-S4,1.0,0.0,1.0,23.2,0.0,2019,8
142,Middle Atlantic MA-SB1,7.0,0.0,7.0,53.129999999999995,0.0,2019,8
143,Middle Atlantic MA-SF1,11.0,0.0,11.0,199.54000000000002,0.0,2019,8
144,Middle Atlantic MA-SF2,19.0,0.0,19.0,384.75,0.0,2019,8
145,Middle Atlantic MA-SL-1,12.0,0.0,12.0,222.71999999999997,0.0,2019,8
146,Middle Atlantic MA-U1,25.0,0.0,25.0,632.75,0.0,2019,8
147,Middle Atlantic MA-U2,49.0,0.0,49.0,1653.75,0.0,2019,8
148,Middle Atlantic MA-U2MS,6.0,0.0,6.0,278.4,0.0,2019,8
149,Middle Atlantic MA-U3,35.0,0.0,35.0,1313.8999999999999,0.0,2019,8
150,Middle Atlantic MA-UNI-1-C,2.0,0.0,2.0,52.3,0.0,2019,8
